type	chapter_no	service_no	description_de	description_fr	description_it	valid_from	valid_until
srv	3.1	3096	Bewegungsangebote für Kinder mit Begleitung, online live, pro 1 Monat	Offres d’activités physiques pour enfants avec accompagnement, en ligne et en direct, par mois	Offerte di attività fisica per bambini accompagnati, online live, 1 mese	2027-01-01	9998-12-31
srv	3.1	3097	Bewegungsangebote für Kinder mit Begleitung, Personal Training	Offres d’activités physiques pour enfants avec accompagnement, entraînement personnalisé	Offerte di attività fisica per bambini accompagnati, personal training	2027-01-01	9998-12-31
srv	3.1	3098	Bewegungsangebote für Kinder mit Begleitung, Personal Training, online live	Offres d’activités physiques pour enfants avec accompagnement, entraînement personnalisé, en ligne et en direct	Offerte di attività fisica per bambini accompagnati, personal training, online live	2027-01-01	9998-12-31
srv	3.1	3099	Bewegungsangebote Indoor für Erwachsene mit Babys/Kindern, pro 1 Lektion	Offres d’activités physiques en salle pour adultes avec bébés/enfants, par leçon	Offerte di attività fisica indoor per adulti con neonati/bambini, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3100	Bewegungsangebote Indoor für Erwachsene mit Babys/Kindern, online live, pro 1 Lektion	Offres d’activités physiques en salle pour adultes avec bébés/enfants, en ligne et en direct, par leçon	Offerte di attività fisica indoor per adulti con neonati/bambini, online live, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3101	Bewegungsangebote Indoor für Erwachsene mit Babys/Kindern, pro 1 Monat	Offres d’activités physiques en salle pour adultes avec bébés/enfants, par mois	Offerte di attività fisica indoor per adulti con neonati/bambini, 1 mese	2027-01-01	9998-12-31
srv	3.1	3102	Bewegungsangebote Indoor für Erwachsene mit Babys/Kindern, online live, pro 1 Monat	Offres d’activités physiques en salle pour adultes avec bébés/enfants, en ligne et en direct, par mois	Offerte di attività fisica indoor per adulti con neonati/bambini, online live, 1 mese	2027-01-01	9998-12-31
srv	3.1	3103	Bewegungsangebote Indoor für Erwachsene mit Babys/Kindern, Personal Training	Offres d’activités physiques en salle pour adultes avec bébés/enfants, entraînement personnalisé	Offerte di attività fisica indoor per adulti con neonati/bambini, personal training	2027-01-01	9998-12-31
srv	3.1	3104	Bewegungsangebote Indoor für Erwachsene mit Babys/Kindern, Personal Training, online live	Offres d’activités physiques en salle pour adultes avec bébés/enfants, entraînement personnalisé, en ligne et en direct	Offerte di attività fisica indoor per adulti con neonati/bambini, personal training, online live	2027-01-01	9998-12-31
srv	3.1	3105	Indoorcycling, pro 1 Lektion	Vélo en salle, par leçon	Indoor cycling, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3106	Indoorcycling, online live, pro 1 Lektion	Vélo en salle, en ligne et en direct, par leçon	Indoor cycling, online live, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3107	Indoorcycling, pro 1 Monat	Vélo en salle, par mois	Indoor cycling, 1 mese	2027-01-01	9998-12-31
srv	3.1	3108	Indoorcycling, online live, pro 1 Monat	Vélo en salle, en ligne et en direct, par mois	Indoor cycling, online live, 1 mese	2027-01-01	9998-12-31
srv	3.1	3109	Indoorcycling, Personal Training	Vélo en salle, entraînement personnalisé	Indoor cycling, personal training	2027-01-01	9998-12-31
